year,AKamount,AKper_cap,ALamount,ALper_cap,ARamount,ARper_cap,AZamount,AZper_cap,CAamount,CAper_cap,COamount,COper_cap,CTamount,CTper_cap,DEamount,DEper_cap,FLamount,FLper_cap,GAamount,GAper_cap,HIamount,HIper_cap,IAamount,IAper_cap,IDamount,IDper_cap,ILamount,ILper_cap,INamount,INper_cap,KSamount,KSper_cap,KYamount,KYper_cap,LAamount,LAper_cap,MAamount,MAper_cap,MDamount,MDper_cap,MEamount,MEper_cap,MIamount,MIper_cap,MNamount,MNper_cap,MOamount,MOper_cap,MSamount,MSper_cap,MTamount,MTper_cap,NCamount,NCper_cap,NDamount,NDper_cap,NEamount,NEper_cap,NHamount,NHper_cap,NJamount,NJper_cap,NMamount,NMper_cap,NVamount,NVper_cap,NYamount,NYper_cap,OHamount,OHper_cap,OKamount,OKper_cap,ORamount,ORper_cap,PAamount,PAper_cap,RIamount,RIper_cap,SCamount,SCper_cap,SDamount,SDper_cap,TNamount,TNper_cap,TXamount,TXper_cap,UTamount,UTper_cap,VAamount,VAper_cap,VTamount,VTper_cap,WAamount,WAper_cap,WIamount,WIper_cap,WVamount,WVper_cap,WYamount,WYper_cap,US_total$lobbied,US_median$bystate,US_median$percap
1999,0.0,0.0,280000.0,0.05858064127391136,380000.0,0.13031916535375823,855000.0,0.13376059544272176,9159700.0,0.24587187465406357,90000.0,0.01789550456971651,4477990.0,1.2529010824272537,160000.0,0.17818681551205323,2110000.0,0.1122262225344936,7130000.0,0.7359883761319692,190000.0,0.13967496899583254,433500.0,0.14230120914995134,0.0,0.0,8718410.0,0.6794996536413794,375000.0,0.05783643609104658,1500000.0,0.5257406107984317,1290000.0,0.29727838184693756,310000.0,0.06838176968490563,5460000.0,0.8338896415786539,4805961.0,0.8324097539954607,190000.0,0.14303340733430145,4290400.0,0.43409108385169837,853875.0,0.16098926738217453,810000.0,0.13524960314259968,40000.0,0.013480281886174521,0.0,0.0,700000.0,0.07341002023704515,80000.0,0.11894301291572441,400000.0,0.2190171495903558,0.0,0.0,20628750.0,2.346337433094621,200000.0,0.09712608763007004,200000.0,0.07405896056027085,5111000.0,0.26375132094980197,1292600.0,0.11204434202943976,85000.0,0.022658503563116328,190000.0,0.04959444792765684,2420000.0,0.19051549320013203,80000.0,0.07600466288606807,200000.0,0.04323984015095893,0.0,0.0,2721000.0,0.42876693656975423,11916263.0,0.47389131624464453,1190000.0,0.43055336962283164,20504843.0,2.5627773395005438,0.0,0.0,1331318.0,0.1979790439197328,1212700.0,0.21324124940697936,70000.0,0.0377767008419887,0.0,0.0,124443310.0,416750.0,0.13450509929266072
2000,40000.0,0.05631970443419113,500000.0,0.10460828798912743,1230000.0,0.42182256153979636,200000.0,0.031289028173736085,9569400.0,0.2568693644240091,172500.0,0.034299717091956644,5060000.0,1.4157422140473523,880000.0,0.9800274853162927,3210000.0,0.17073278404536704,7297112.0,0.7532383746610247,140000.0,0.10291839820745556,410500.0,0.1347512026667936,50000.0,0.031896258058589595,9392123.0,0.7320078231532164,590000.0,0.09099599278324662,1728266.0,0.605746414974775,1600000.0,0.36871737283341094,500000.0,0.11029317691113812,8576000.0,1.3097871000326988,7184988.0,1.2444657985240282,280000.0,0.21078607396633897,4762960.0,0.48190342829160104,1255821.0,0.23677201317891938,1110000.0,0.1853420487509699,80000.0,0.026960563772349042,40000.0,0.04042792963518847,1390500.0,0.1458237616280161,80000.0,0.11894301291572441,500000.0,0.27377143698794476,0.0,0.0,16081603.0,1.8291397735232022,270000.0,0.13112021830059456,480000.0,0.17774150534465002,11819248.0,0.6099280517772071,3407438.0,0.2953614023797851,205000.0,0.0546469791816335,260000.0,0.0678660866378462,3288500.0,0.2588885121440637,0.0,0.0,432000.0,0.0933980547260713,80000.0,0.09825837038492717,3706500.0,0.5840590409392848,9102962.0,0.36201069445219375,1202000.0,0.4348950842744904,24222414.0,3.027414240977155,0.0,0.0,2390689.0,0.3555171060027898,932734.0,0.16401200917322462,130000.0,0.07015673013512186,0.0,0.0,145841258.0,735000.0,0.17423714469500853
2001,40000.0,0.05631970443419113,420000.0,0.08787096191086705,800000.0,0.27435613758685945,465000.0,0.07274699050393639,3938000.0,0.10570689459127508,410000.0,0.08152396526204188,5506680.0,1.5407192362154694,640000.0,0.7127472620482129,3390618.0,0.18033945506988608,4509428.0,0.46548199032314636,80000.0,0.05881051326140317,1285742.0,0.4220591493768783,0.0,0.0,9659911.0,0.7528788137638115,740000.0,0.11413056721966525,1800000.0,0.6308887329581181,2140000.0,0.49315948616468713,695000.0,0.15330751590648198,7974000.0,1.2178454216022319,5199739.0,0.9006135217973269,320000.0,0.24089837024724453,2137840.0,0.21630087700482817,1148107.0,0.21646365663164543,694289.0,0.11592877989663257,40000.0,0.013480281886174521,0.0,0.0,1220000.0,0.12794317812742154,40000.0,0.05947150645786221,420000.0,0.22996800706987358,0.0,0.0,10083420.0,1.1468996327753724,160000.0,0.07770087010405603,262000.0,0.09701723833395481,7826500.0,0.4038837240097095,4157000.0,0.3603344652764824,80000.0,0.021325650412344778,285000.0,0.07439167189148525,2597000.0,0.2044498908432822,80000.0,0.07600466288606807,311000.0,0.06723795143474114,40000.0,0.049129185192463586,2550000.0,0.4018212746243562,9511402.0,0.3782537204081468,1260000.0,0.4558800384241747,24299494.0,3.0370480078549944,0.0,0.0,1065000.0,0.1583751453631029,694549.0,0.12212954278417425,100000.0,0.05396671548855528,0.0,0.0,121076719.0,694774.5,0.14062534701695176
2002,40000.0,0.05631970443419113,1030000.0,0.2154930732576025,1160000.0,0.39781639950094616,593500.0,0.09285019110556182,5780899.0,0.1551754396231101,425000.0,0.08450654935699464,6236923.0,1.7450346199333706,1300000.0,1.4477678760354324,2950000.0,0.15690396041552424,12877700.0,1.3292899735364179,0.0,0.0,1534834.0,0.5038263761117795,40000.0,0.02551700644687168,12187500.0,0.9498752672510599,781540.0,0.12053730203359078,1588292.0,0.5566864041375085,2040000.0,0.470114650362599,1240000.0,0.2735270787396225,9483000.0,1.448310525840728,6374125.0,1.1040214065795197,580000.0,0.4366282960731307,1911580.0,0.19340850132137552,2379398.0,0.44861079295050366,760000.0,0.1269008622078713,20000.0,0.0067401409430872606,100000.0,0.10106982408797117,1276598.0,0.1338786928779591,80000.0,0.11894301291572441,460000.0,0.25186972202890917,45000.0,0.034182320903628646,17150389.0,1.9507047059484566,20000.0,0.009712608763007004,375000.0,0.13886055105050785,10367148.0,0.5349929523541573,4256415.0,0.36895189391864297,420000.0,0.1119596646648101,341000.0,0.08900898285963675,2572000.0,0.20248175558295026,160000.0,0.15200932577213613,260000.0,0.056211792196246606,0.0,0.0,600000.0,0.0945461822645544,6574000.0,0.26143779412994606,995000.0,0.360000506533376,35318313.0,4.4142241043146475,40000.0,0.06392421145489907,657880.0,0.09783271420796069,1516413.0,0.26664616371483946,20000.0,0.010793343097711055,0.0,0.0,156919447.0,888270.0,0.15603970001931716
2003,80000.0,0.11263940886838227,1130000.0,0.236414730855428,1520000.0,0.5212766614150329,480000.0,0.0750936676169666,8600143.0,0.23085180537605188,704000.0,0.13998261352311583,6503839.0,1.8197153015153198,860000.0,0.9577541333772861,3440000.0,0.18296597417945878,3792558.0,0.3914836751481499,30000.0,0.02205394247302619,1132405.0,0.3717245691982714,40000.0,0.02551700644687168,10597250.0,0.8259335939180549,810687.0,0.1250326583075794,831150.0,0.29131287244341103,1080446.0,0.2489870066302297,680000.0,0.14999872059914784,8916250.0,1.3617524755907826,6655154.0,1.152696641512885,320000.0,0.24089837024724453,980000.0,0.09915375307073103,1989600.0,0.37511842644833776,1106000.0,0.18467414947619165,170000.0,0.05729119801624172,40000.0,0.04042792963518847,4106302.0,0.43063387559917,100000.0,0.14867876614465553,820000.0,0.44898515666022937,0.0,0.0,9148500.0,1.0405607710920992,252000.0,0.12237887041388826,260000.0,0.09627664872835211,12032858.0,0.6209513191746023,5269082.0,0.45673125931391345,50000.0,0.013328531507715487,430000.0,0.11224006636259179,3818000.0,0.30057361695789425,222000.0,0.21091293950883885,280000.0,0.0605357762113425,160000.0,0.19651674076985434,701342.0,0.11051534760297851,12835000.0,0.5104280632275414,1525000.0,0.5517595703149734,29030785.0,3.6283836918874384,0.0,0.0,764664.0,0.1137124621163678,1568940.0,0.2758825149209089,100000.0,0.05396671548855528,0.0,0.0,145963955.0,825575.0,0.2037148401393466
2004,120000.0,0.16895911330257338,1505203.0,0.31491341781219717,1880000.0,0.6447369233291197,545000.0,0.08526260177343083,9777964.0,0.2624678034193201,764000.0,0.15191294990292684,7535698.0,2.108420112828499,240000.0,0.2672802232680798,4221000.0,0.22450563285217892,6117205.0,0.6314434466222107,0.0,0.0,1424120.0,0.4674832709910697,60000.0,0.03827550967030752,11746019.0,0.9154669076316739,1896574.0,0.2925095491811749,1662730.0,0.582776457195251,1207617.0,0.2782933547681033,220000.0,0.04852899784090077,10936000.0,1.6702229158066224,8242021.0,1.4275477210562926,420000.0,0.31617911094950846,1119958.0,0.11331432549141814,1057316.0,0.19934595606084174,1085772.0,0.18129658284363792,140000.0,0.047180986601610825,110000.0,0.1111768064967683,5513030.0,0.5781594912391957,80000.0,0.11894301291572441,1180000.0,0.6461005912915496,0.0,0.0,10905500.0,1.2404039448155313,332000.0,0.16122930546591627,435000.0,0.1610782392185891,11143553.0,0.5750590537711072,5952666.0,0.5159852586190756,140000.0,0.03731988822160336,640000.0,0.1670549824931599,5127669.0,0.40367784648844124,180000.0,0.17101049149365313,560000.0,0.121071552422685,0.0,0.0,1560119.0,0.24583882554732392,14701389.0,0.5846514619419309,1120000.0,0.4052267008214886,30724041.0,3.840013603258783,0.0,0.0,810000.0,0.12045433590996558,2108436.0,0.3707475277765762,120000.0,0.06476005858626634,40000.0,0.07096904685021628,167407600.0,1102865.0,0.23517222919975142
2005,180000.0,0.2534386699538601,2369901.0,0.49582257262744217,500000.0,0.17147258599178714,785000.0,0.12280943558191412,16570440.0,0.4447967888296212,1046100.0,0.2080054147820049,5604776.0,1.5681656093832932,1482000.0,1.650455378680393,5260000.0,0.2797677395883585,8372420.0,0.864236157096048,0.0,0.0,1470771.0,0.4827969819669736,58000.0,0.03699965934796393,10446665.0,0.8141972273852137,2455000.0,0.3786358682760516,2139409.0,0.7498494629384413,1520000.0,0.3502815041917404,570000.0,0.12573422167869744,13153892.0,2.008954997297495,9129643.0,1.5812870482503665,180000.0,0.13550533326407505,1685000.0,0.1704837489022263,1223000.0,0.23058395433570422,1352186.0,0.22578101219133243,190000.0,0.06403133895932898,346250.0,0.3499542659046002,5009802.0,0.5253852374336989,80000.0,0.11894301291572441,1310000.0,0.7172811649084152,20000.0,0.015192142623834953,13580000.0,1.544604609655212,280000.0,0.13597652268209806,545000.0,0.20181066752673807,12597898.0,0.6501100056135528,5723792.0,0.4961461461808534,212000.0,0.056512973592713664,660000.0,0.17227545069607111,7656042.0,0.6027250485912914,160000.0,0.15200932577213613,300000.0,0.0648597602264384,100000.0,0.12282296298115895,1250000.0,0.196971213051155,9605000.0,0.38197596784577603,1260000.0,0.4558800384241747,26644042.0,3.3300789998880145,10000.0,0.015981052863724768,886000.0,0.1317562242175673,2055761.0,0.3614851522405717,150000.0,0.08095007323283292,0.0,0.0,178185790.0,1255000.0,0.24201131214478216
2006,140000.0,0.19711896551966895,2385189.0,0.49902107564099774,3080000.0,1.0562711297094087,961000.0,0.1503437803748019,20205646.0,0.5423758486212846,1067900.0,0.21234010366666958,7771910.0,2.174510093038885,3400000.0,3.786469829631131,5855000.0,0.31141447058742183,9668810.0,0.9980549468483233,0.0,0.0,1299096.0,0.42644274879322996,254600.0,0.16241574603433823,11929991.0,0.9298054063120196,2365921.0,0.36489716990124005,1212657.0,0.4250286879126626,1640000.0,0.3779353071542462,1470000.0,0.32426194011874604,15172388.0,2.3172339178044448,11434246.0,1.9804525879389325,200000.0,0.15056148140452782,1935700.0,0.19584889777450412,1184000.0,0.2232309091851789,2435843.0,0.4067244432934314,570000.0,0.19209401687798694,270000.0,0.27288852503752214,4020000.0,0.4215832590756021,3020000.0,4.490098737568597,1704000.0,0.9330130572549157,40000.0,0.030384285247669906,16487500.0,1.875306958887357,340000.0,0.16511434897111907,479000.0,0.17737121054184868,14259249.0,0.7358434278031977,4525407.0,0.3922684896568319,520000.0,0.13861672768024105,650000.0,0.1696652165946155,8235013.0,0.6483047781836773,80000.0,0.07600466288606807,765000.0,0.16539238857741792,240000.0,0.2947751111547815,878000.0,0.13835258004713127,10415158.0,0.4141946962328659,869000.0,0.31441250269095855,33944032.0,4.24246096499648,60000.0,0.09588631718234861,1606341.0,0.23887745481475312,2273991.0,0.3998587300900688,10000.0,0.0053966715488555275,130000.0,0.2306494022632029,213461588.0,1538170.5,0.3193372214048523
2007,100000.0,0.14079926108547783,1424613.0,0.2980526539541096,2752000.0,0.9437851132987964,1327000.0,0.20760270193273891,20646958.0,0.5542218925689395,465500.0,0.09255952641336707,8522157.0,2.384422414948447,4570000.0,5.08946091806302,4769500.0,0.2536791319328281,8518500.0,0.8793151447517784,0.0,0.0,1813595.0,0.5953327829488028,40000.0,0.02551700644687168,11717366.0,0.913233736264901,2433857.0,0.3753749728939903,4164634.0,1.459678148607944,2523074.0,0.5814382604651784,1692500.0,0.37334240384420253,13901228.0,2.1230934128980126,13736340.0,2.3791835597912687,160000.0,0.12044918512362227,1883028.0,0.1905196870788495,1698750.0,0.3202816781911509,2042010.0,0.34096424952249377,540000.0,0.18198380546335605,330000.0,0.3335304194903049,5644266.0,0.591922401833237,90000.0,0.13381088953018996,1374000.0,0.7523239088428721,0.0,0.0,18269322.0,2.0779734150570968,380000.0,0.18453956649713307,686000.0,0.254022234721729,12558099.0,0.6480561925001737,5598069.0,0.48524830399226665,430000.0,0.11462537096635318,860000.0,0.22448013272518358,8214842.0,0.646716807930231,100000.0,0.09500582860758508,515000.0,0.11134258838871924,320000.0,0.3930334815397087,977412.0,0.1540176218326044,9661100.0,0.3842069779234593,686000.0,0.24820135425316175,34515857.0,4.313929941967428,0.0,0.0,1870000.0,0.2780859359896736,2172017.0,0.3819276150846863,20000.0,0.010793343097711055,0.0,0.0,216714594.0,1695625.0,0.3269060488407279
2008,50000.0,0.07039963054273891,1117881.0,0.23387923517114753,7343000.0,2.518246397875386,1026590.0,0.16060501716437864,21371952.0,0.5736827519740454,453075.0,0.09008895258804787,6197870.0,1.7341079439086293,4900000.0,5.45697122505663,5197500.0,0.276443503138877,8644374.0,0.8923083847037048,0.0,0.0,2374905.0,0.7795890498645102,110000.0,0.07017176772889712,14225543.0,1.1087172479110927,2662167.0,0.41058733749118187,3289054.0,1.1527928392726834,4098871.0,0.94457809168941,1411779.0,0.3114191820128593,10422568.0,1.5918079659064372,14931533.0,2.586195291910422,510000.0,0.383931777581546,1982811.0,0.2006154615101319,2163437.0,0.40789358823889854,2686126.0,0.44851540184076377,380000.0,0.12806267791865797,190000.0,0.19203266576714523,4648593.0,0.4875047231482663,274800.0,0.40856924936551337,811500.0,0.4443310422314343,30000.0,0.02278821393575243,19887988.0,2.262082322648567,702000.0,0.34091256758154587,787352.0,0.2915523535752519,14003706.0,0.7226562229881957,4965720.0,0.43043542480460284,272000.0,0.07250721140197225,991708.0,0.2588590040286353,12985373.0,1.0222788187944951,220000.0,0.20901282293668716,1595332.0,0.3449095033385481,0.0,0.0,1669600.0,0.26309050984816673,16357000.0,0.6504925461794231,740000.0,0.26773907018562637,47563843.0,5.944719450910283,0.0,0.0,4125777.0,0.6135404057377902,2629229.0,0.4623238038567354,190000.0,0.10253675942825503,230000.0,0.4080720193887436,253422557.0,1826205.5,0.40798280381382107
